"machine_id";"serial_number";"model";"capability";"no_of_modules";"software_version";"workstation";"ownership";"type_of_purchase"
1117;110001650;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"MACARE-HBDC"
1118;110001652;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"MACARE-HBDC"
1119;110002868;"GXIV-4D";"6C";4;0.0;"Desktop";"";"IOM"
1120;110003713;"GXIV-4D";"6C";4;0.0;"Desktop";"Purchase";"COMMERCIAL"
1121;110003714;"GXIV-4D";"6C";4;0.0;"Desktop";"Purchase";"COMMERCIAL"
1122;110004816;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"IOM"
1123;110005265;"GXIV-4D";"6C";4;0.0;"Desktop";"Purchase";"COMMERCIAL"
1124;110005268;"GXIV-4D";"6C";4;0.0;"Desktop";"Purchase";"COMMERCIAL"
1125;110005587;"GXXVI-16-D";"6C";16;0.0;"Desktop";"";"MACARE-HBDC"
1126;110008415;"GXIV-4D";"6C";4;0.0;"Desktop";"";"CONSORTIUM"
1127;110008418;"GXIV-4D";"6C";4;0.0;"Desktop";"";"CONSORTIUM"
1128;110008420;"GXIV-4D";"6C";4;0.0;"Desktop";"";"CONSORTIUM"
1129;110008457;"GXIV-4D";"6C";4;0.0;"Desktop";"";"MACARE-HBDC"
1130;110008458;"GXIV-4D";"6C";4;0.0;"Desktop";"";"MACARE-HBDC"
1131;110008524;"GXIV-4D";"6C";4;0.0;"Desktop";"Purchase";"COMMERCIAL"
1132;110008529;"GXIV-4D";"6C";4;0.0;"Desktop";"Purchase";"COMMERCIAL"
1133;110008530;"GXIV-4D";"6C";4;0.0;"Desktop";"Purchase";"COMMERCIAL"
1134;110008649;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"IOM"
1135;110008651;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"IOM"
1136;110008652;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"IOM"
1137;110008653;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"IOM"
1138;110008654;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"IOM"
1139;110008655;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"IOM"
1140;110012766;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"MACARE-HBDC"
1141;110012825;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"MACARE-HBDC"
